x,y
-10656964.6778,3514810.5527999997
-10656907.0753,3515266.4283000007
-10657199.3729,3514858.3122999966
-10656541.9821,3513503.0569999963
-10657399.0906,3513163.116700001
-10656827.7471,3514881.503700003
-10656768.6023,3514882.097599998
-10656887.8964,3514838.2707
-10656759.6821,3514832.746600002
-10656792.3984,3515245.3880999982
-10656801.7729,3514723.4345000014
-10644041.1241,3499528.223899998
-10644551.5798,3501024.963399999
-10669514.5652,3514512.535400003
-10672897.0659,3518640.0779
-10672856.555,3516434.4935000017
-10591881.2682,3439857.1450999975
-10577582.5933,3495556.8024000004
-10576933.8162,3495988.018600002
-10574751.9817,3496991.527999997
-10575837.3526,3496377.485100001
-10575258.3853,3496961.288999997
-10574537.9358,3496958.460000001
-10575326.565,3496118.262699999
-10576984.9085,3495978.8332
-10576229.6092,3496727.4601000026
-10576189.5103,3496511.972099997
-10576176.1442,3496440.143600002
-10577703.1615,3496054.0085999966
-10576622.5643,3496043.617200002
-10574891.8121,3497022.2633000016
-10575271.4973,3497020.0084000006
-10577738.5122,3496047.7104
-10575142.2388,3497053.6679999977
-10575117.3942,3496837.685800001
-10574739.6481,3497050.295000002
-10574998.7037,3497067.5349999964
-10575198.7069,3496335.6437000036
-10575173.6515,3496555.4267999977
-10576162.5966,3496123.3110999987
-10575060.7237,3497159.5516000018
-10575717.8784,3498771.063000001
-10573934.5907,3498923.3198999986
-10575968.0553,3496370.508100003
-10576728.0457,3498438.0003999993
-10576849.2557,3498416.6871000007
-10577387.9681,3498321.9491000026
-10577603.4655,3498283.9844999984
-10577657.3104,3498274.5503999963
-10577263.6433,3498225.3093999997
-10578041.5305,3498090.2016000003
-10577001.7875,3498267.579099998
-10576583.2814,3498338.3077000007
-10577904.1337,3497981.347599998
-10577937.1977,3497786.230899997
-10652982.7833,3514633.0776000023
-10651391.4815,3515635.0320999995
-10650295.23,3514381.1305000037
-10651344.4487,3515352.3889999986
-10650960.4144,3516422.9814999998
-10571435.8414,3480018.354199998
-10570412.7962,3481526.471900001
-10570886.5797,3481605.8457999974
-10572771.8596,3483453.3263000026
-10574003.7547,3483342.545500003
-10573927.1388,3483134.6812999994
-10573943.8962,3483052.5846000016
-10573813.7636,3483331.7316000015
-10570070.0977,3481692.5741000026
-10570797.9828,3483796.5779
-10591011.4578,3503631.653300002
-10599404.7765,3474989.8993000016
-10599249.5842,3474930.1445000023
-10610092.2008,3477215.8614000008
-10648005.862,3515111.788999997
-10648174.5488,3515349.9505999982
-10647957.5826,3515275.1437000036
-10646968.1319,3515700.544399999
-10648103.8044,3515145.3149999976
-10648179.8233,3515514.753200002
-10648251.06,3515728.6127000004
-10574314.2611,3461971.2892000005
-10582978.1564,3492328.6072999984
-10582761.1064,3489516.776799999
-10582521.7742,3489329.3039999977
-10582620.918,3492190.000500001
-10582611.7093,3491044.5874999985
-10582717.1339,3491045.028099999
-10582743.4846,3491045.1466000006
-10582769.8354,3491045.2651000023
-10582665.6924,3490986.6190000027
-10582834.7796,3490988.389200002
-10582889.7605,3491004.034900002
-10582915.897,3491004.8588000014
-10582942.2479,3491004.9197999984
-10582664.3325,3491044.8258000016
-10582638.0052,3491044.7397999987
-10582514.8897,3488341.3029000014
-10582579.0095,3488226.1909999996
-10582633.4829,3488167.6677
-10582615.0432,3488167.9363999963
-10574462.3482,3499679.5656000003
-10575094.8025,3500362.7650000006
-10574960.6905,3500130.5195999965
-10575458.4643,3500701.167000003
-10574751.4624,3499418.054899998
-10575905.5964,3499363.5474999994
-10575944.8155,3499601.6767999977
-10576071.2895,3500320.161600001
-10576134.4072,3500671.8928999975
-10575776.0232,3500122.7776999995
-10575677.4246,3499559.5190000013
-10575354.3434,3500051.315399997
-10575306.5419,3500060.0940999985
-10575209.5728,3500076.7490999997
-10575549.5668,3500206.3228999972
-10575241.6331,3499543.407700002
-10576335.7943,3501430.1291000023
-10575403.8201,3499116.1328999996
-10575784.5682,3500171.6604999974
-10575337.4039,3500791.4192999974
-10575959.5064,3500864.829599999
-10575840.6646,3501427.764399998
-10575227.7751,3500188.0358999968
-10576025.8278,3500602.764899999
-10580646.6574,3475918.101599999
-10580053.3876,3476065.2117
-10575524.9957,3494966.848899998
-10575769.6703,3493658.561999999
-10576544.085,3495024.1625000015
-10577601.0689,3492489.9701000005
-10576705.8773,3493591.379900001
-10576445.2087,3493643.8882
-10576290.1572,3493675.2005999982
-10576184.7469,3493696.5593999997
-10576514.125,3493630.0205999985
-10586103.4844,3506971.2986999974
-10585946.6535,3507566.074199997
-10586413.4333,3507610.043399997
-10585865.075,3507462.3136000037
-10585991.8358,3507375.6983999982
-10586748.2165,3507563.3351000026
-10586079.7769,3507374.728699997
-10586035.8064,3507375.2139
-10585947.8652,3507376.1828999966
-10585376.2468,3507382.4679000005
-10585340.5265,3507467.5358999968
-10585736.2662,3507463.3816
-10585778.7286,3507462.9648
-10585821.1946,3507462.445799999
-10586041.0299,3507460.476599999
-10586128.97,3507459.358400002
-10586003.0416,3507071.4422999993
-10584363.3166,3507359.2603999972
-10584364.2933,3507525.2440000027
-10582656.8591,3508684.7590999976
-10584061.5464,3508253.2580000013
-10584002.2772,3508254.8483999968
-10584061.5464,3508253.2580000013
-10581592.4098,3508342.5227999985
-10583490.5788,3508261.389899999
-10584323.5053,3507499.934100002
-10582676.5206,3508278.2629999965
-10582532.9637,3508280.652599998
-10585961.3292,3507705.174999997
-10585905.9936,3507760.0556999967
-10585553.6989,3508032.1231999993
-10585519.1664,3508122.333899997
-10585556.1843,3508125.2378999963
-10585589.132,3508127.7459999993
-10586145.9608,3507821.3395000026
-10643309.3749,3518750.9795999974
-10643233.8681,3518618.4988999963
-10643315.2334,3518934.0834000036
-10643317.5337,3518959.9244000018
-10643233.0319,3518522.8275000006
-10643235.0376,3518735.2444999963
-10641600.5365,3519027.5974999964
-10641665.0682,3519566.375699997
-10641982.7272,3519560.9826000035
-10641728.2289,3519581.6988999993
-10641900.8975,3519693.662600003
-10640844.823,3519688.3879000023
-10640690.9376,3520720.4848000035
-10640257.1912,3520114.658500001
-10640441.4567,3518726.8341000006
-10640812.716,3519335.384499997
-10640884.3039,3519431.5781000033
-10640093.3799,3520254.462099999
-10640098.576,3520196.978500001
-10640721.4418,3519213.494599998
-10640723.1305,3519359.1454000026
-10641638.421,3519573.6344000027
-10641637.1723,3519433.4849999994
-10641578.8206,3519414.162600003
-10641543.8428,3519588.830600001
-10641544.9915,3519327.4931000024
-10641483.8771,3519442.012500003
-10641482.4688,3519303.4592999965
-10641443.7076,3519261.2787000015
-10641485.4818,3519579.904799998
-10641484.7026,3519491.4310000017
-10641372.516,3519230.166199997
-10641377.5054,3519555.6532000005
-10584684.7513,3504325.1488000005
-10586076.3453,3504033.9323000014
-10585883.6828,3504037.3972999975
-10586041.9196,3504034.538999997
-10585023.6564,3501163.8478000015
-10584867.2737,3503783.5964
-10584577.927,3503787.7448000014
-10601570.1938,3477270.8379999995
-10584392.9281,3498678.824699998
-10585127.277,3497121.1876000017
-10584058.8644,3497957.121799998
-10586615.552,3496453.271399997
-10586727.1325,3496460.9263999984
-10586714.1087,3496910.095899999
-10585473.117,3511695.1177999973
-10585715.8203,3514165.6846999973
-10585725.3834,3514354.155699998
-10585632.6021,3514448.854500003
-10585459.8745,3514954.6428000033
-10585484.5976,3515228.338600002
-10585821.3596,3515245.637599997
-10586294.1193,3514907.3456000015
-10585826.0189,3515006.0578000024
-10585803.9168,3514890.5539999977
-10585991.3198,3514177.2233999968
-10585997.7583,3514057.439000003
-10586283.0776,3514042.0583999977
-10585901.4342,3511390.512500003
-10586151.2239,3511415.1476000026
-10586230.4747,3512009.4618000016
-10586069.0437,3511769.1050999984
-10585989.6029,3511606.3642999977
-10586236.6839,3511468.6555999964
-10585821.3554,3515145.068599999
-10586229.0508,3511406.1630999967
-10660351.8136,3513620.961599998
-10570590.334,3469779.828400001
-10570516.439,3470024.7343000025
-10569009.6419,3468984.677699998
-10569018.6138,3468959.5154
-10568132.3965,3463051.052699998
-10574591.6835,3468213.434100002
-10574677.1311,3468245.583499998
-10575184.9915,3468526.742700003
-10575313.6551,3469125.7058999985
-10574720.2349,3467920.4092999995
-10573888.0538,3468087.3131000027
-10567891.4949,3470129.764399998
-10567919.815,3470285.432099998
-10568176.0791,3471425.5590000004
-10568157.216,3470262.7430000007
-10567936.5658,3469900.661600001
-10567758.0657,3471695.9705
-10566844.3843,3472848.8149999976
-10567083.6584,3473568.0786999986
-10567416.4924,3472693.449000001
-10567465.0709,3472861.592500001
-10567410.5612,3472948.3753999993
-10568206.159,3473454.181599997
-10568799.6339,3473336.2969999984
-10568955.8775,3474269.216300003
