x,y,gmt,precip_mm
-10628695.9253,3500876.477499999,1.5,178.6374717620482
-10624053.9026,3500876.477499999,1.5,180.1480845256024
-10619411.8798,3500876.477499999,1.5,181.09753859186748
-10614780.989,3500876.477499999,1.5,182.66145048945782
-10610138.9662,3500876.477499999,1.5,187.04042733433735
-10605496.9435,3500876.477499999,1.5,185.1359422063253
-10600866.0527,3500876.477499999,1.5,186.3882247740964
-10596224.0299,3500876.477499999,1.5,187.92119258283134
-10591582.0071,3500876.477499999,1.5,188.79285109186748
-10586951.1163,3500876.477499999,1.5,190.3859657379518
-10582309.0935,3500876.477499999,1.5,190.52739081325302
-10577667.0708,3500876.477499999,1.5,190.43098173945782
-10675071.6252,3506223.7699000016,1.5,175.92521649096386
-10670440.7344,3506223.7699000016,1.5,176.96371423192772
-10665798.7116,3506223.7699000016,1.5,177.8616575677711
-10661156.6889,3506223.7699000016,1.5,177.3862716490964
-10656525.798,3506223.7699000016,1.5,175.0867140436747
-10651883.7753,3506223.7699000016,1.5,175.23691641566265
-10647241.7525,3506223.7699000016,1.5,177.02273155120483
-10642610.8617,3506223.7699000016,1.5,176.68277014307228
-10637968.8389,3506223.7699000016,1.5,175.39676675451807
-10633326.8162,3506223.7699000016,1.5,174.96771460843374
-10628695.9253,3506223.7699000016,1.5,175.27364928463857
-10624053.9026,3506223.7699000016,1.5,179.17844032379517
-10619411.8798,3506223.7699000016,1.5,179.24282285391567
-10614780.989,3506223.7699000016,1.5,180.0854903990964
-10610138.9662,3506223.7699000016,1.5,183.93300545933735
-10605496.9435,3506223.7699000016,1.5,181.38024755271084
-10600866.0527,3506223.7699000016,1.5,186.02626129518072
-10596224.0299,3506223.7699000016,1.5,185.67020425451807
-10591582.0071,3506223.7699000016,1.5,187.31266472138554
-10586951.1163,3506223.7699000016,1.5,189.0832078313253
-10582309.0935,3506223.7699000016,1.5,189.93806475903614
-10675071.6252,3511586.168200001,1.5,174.583984375
-10670440.7344,3511586.168200001,1.5,175.1547204442771
-10665798.7116,3511586.168200001,1.5,174.33224303463857
-10661156.6889,3511586.168200001,1.5,174.8949312876506
-10656525.798,3511586.168200001,1.5,176.976468373494
-10651883.7753,3511586.168200001,1.5,173.71886765813252
-10647241.7525,3511586.168200001,1.5,175.02442582831324
-10642610.8617,3511586.168200001,1.5,173.63697759789156
-10637968.8389,3511586.168200001,1.5,173.75694182981928
-10633326.8162,3511586.168200001,1.5,173.60497458584337
-10628695.9253,3511586.168200001,1.5,174.9859751506024
-10624053.9026,3511586.168200001,1.5,175.20418392319277
-10619411.8798,3511586.168200001,1.5,178.29120387801206
-10614780.989,3511586.168200001,1.5,178.37474115210844
-10596224.0299,3511586.168200001,1.5,185.55362857680723
-10591582.0071,3511586.168200001,1.5,186.4922110316265
-10586951.1163,3511586.168200001,1.5,187.74465832078315
-10582309.0935,3511586.168200001,1.5,188.35593938253012
-10679713.648,3516950.8259999976,1.5,168.35330384036143
-10675071.6252,3516950.8259999976,1.5,170.99268166415663
-10647241.7525,3516950.8259999976,1.5,174.71922063253012
-10642610.8617,3516950.8259999976,1.5,172.5292733433735
-10637968.8389,3516950.8259999976,1.5,173.2179969879518
